Title,IF,Q,Publisher,Category,5IF,TITLE Short,Type,Issn_1,Issn_2,None,Country,Region,Coverage,Categories,Areas
"Lancet HIV,The",12.8,Q1,Elsevier ,INFECTIOUS DISEASES,11.8,LANCET HIV,journal,23523018,,4/132,United Kingdom,Western Europe,2014-2023,Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Virology (Q1),Immunology and Microbiology; Medicine
Journal of Photochemistry and Photobiology C: Photochemistry Reviews,12.8,Q1,Elsevier ,"CHEMISTRY, PHYSICAL",14.9,J PHOTOCH PHOTOBIO C,journal,13895567,,20/178,Netherlands,Western Europe,2000-2023,Catalysis (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1),Chemical Engineering; Chemistry
Journal of Experimental Medicine,12.6,Q1,Rockefeller University Press,"MEDICINE, RESEARCH & EXPERIMENTAL",14.1,J EXP MED,journal,221007,15409538,7/189,United States,Northern America,"1909-1910, 1929, 1935, 1938, 1945-2023",Immunology (Q1); Immunology and Allergy (Q1); Medicine (miscellaneous) (Q1),Immunology and Microbiology; Medicine
Chemical Record,7,Q1,Wiley,"CHEMISTRY, MULTIDISCIPLINARY",6.6,CHEM REC,journal,15278999,15280691,45/230,United States,Northern America,2001-2023,Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1); Medicine (miscellaneous) (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Materials Science; Medicine"
Nature Structural and Molecular Biology,12.5,Q1,Nature Publishing Group,CELL BIOLOGY,13.1,NAT STRUCT MOL BIOL,journal,15459993,15459985,20/205,United Kingdom,Western Europe,"1998, 2004-2023",Molecular Biology (Q1); Structural Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Cancer Research,12.5,Q1,American Association for Cancer Research Inc.,ONCOLOGY,11.6,CANCER RES,journal,85472,15387445,20/322,United States,Northern America,1941-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Ageing Research Reviews,12.5,Q1,Elsevier ,GERIATRICS & GERONTOLOGY,13,AGEING RES REV,journal,15681637,18729649,Mar-74,Ireland,Western Europe,2002-2023,Aging (Q1); Biochemistry (Q1); Biotechnology (Q1); Molecular Biology (Q1); Neurology (Q1),"Biochemistry, Genetics and Molecular Biology; Neuroscience"
Theranostics,12.4,Q1,Ivyspring International Publisher,"MEDICINE, RESEARCH & EXPERIMENTAL",12,THERANOSTICS,journal,18387640,,8/189,Australia,Pacific Region,2012-2023,"Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","Medicine; Pharmacology, Toxicology and Pharmaceutics"
Gut Microbes,12.2,Q1,Landes Bioscience,MICROBIOLOGY,12.3,GUT MICROBES,journal,19490984,19490976,9/161,United States,Northern America,2010-2023,Gastroenterology (Q1); Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1),Immunology and Microbiology; Medicine
Annual Review of Biochemistry,12.1,Q1,Annual Reviews Inc.,BIOCHEMISTRY & MOLECULAR BIOLOGY,22.3,ANNU REV BIOCHEM,journal,15454509,664154,14/313,United States,Northern America,"1946-1948, 1950-1960, 1962-2023",Biochemistry (Q1),"Biochemistry, Genetics and Molecular Biology"
Molecular Therapy,12.1,Q1,Cell Press,"MEDICINE, RESEARCH & EXPERIMENTAL",11.8,MOL THER,journal,15250024,15250016,9/189,United States,Northern America,2000-2023,Drug Discovery (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Seminars in Cancer Biology,12.1,Q1,Academic Press,ONCOLOGY,13.2,SEMIN CANCER BIOL,journal,10963650,1044579X,21/322,United States,Northern America,1990-2023,Cancer Research (Q1),"Biochemistry, Genetics and Molecular Biology"
Biotechnology Advances,12.1,Q1,Elsevier ,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,14.6,BIOTECHNOL ADV,journal,18731899,7349750,4/174,United States,Northern America,1983-2023,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
Pharmacology and Therapeutics,12,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,12.5,PHARMACOL THERAPEUT,journal,1879016X,1637258,8/354,United States,Northern America,"1975-1977, 1979-1985, 1987-2023",Pharmacology (Q1); Pharmacology (medical) (Q1),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Cell Reports Medicine,11.7,Q1,Cell Press,"MEDICINE, RESEARCH & EXPERIMENTAL",,CELL REP MED,journal,26663791,,10/189,United States,Northern America,2020-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology"
Annual Review of Physical Chemistry,11.7,Q1,Annual Reviews Inc.,"CHEMISTRY, PHYSICAL",14.1,ANNU REV PHYS CHEM,journal,0066426X,15451593,21/178,United States,Northern America,"1975, 1983, 1985, 1988-2023",Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1),Chemistry; Medicine
Trends in Biochemical Sciences,11.6,Q1,Elsevier ,BIOCHEMISTRY & MOLECULAR BIOLOGY,12.5,TRENDS BIOCHEM SCI,journal,13624326,9680004,15/313,United Kingdom,Western Europe,1976-2023,Biochemistry (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
"Genomics, Proteomics and Bioinformatics",11.5,Q1,Beijing Genomics Institute,GENETICS & HEREDITY,10.3,GENOM PROTEOM BIOINF,journal,16720229,22103244,6/191,China,Asiatic Region,2003-2023,Biochemistry (Q1); Computational Mathematics (Q1); Genetics (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Mathematics; Medicine"
Annual Review of Cell and Developmental Biology,11.4,Q1,Annual Reviews Inc.,DEVELOPMENTAL BIOLOGY,14.7,ANNU REV CELL DEV BI,journal,15308995,10810706,Jan-39,United States,Northern America,1995-2022,Cell Biology (Q1); Developmental Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Journal of Experimental and Clinical Cancer Research,11.4,Q1,BioMed Central Ltd,ONCOLOGY,11.4,J EXP CLIN CANC RES,journal,17569966,3929078,25/322,United Kingdom,Western Europe,1982-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Trends in Endocrinology and Metabolism,11.4,Q1,Elsevier ,ENDOCRINOLOGY & METABOLISM,12.3,TRENDS ENDOCRIN MET,journal,10432760,18793061,7/186,United States,Northern America,1989-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Allergy and Clinical Immunology,11.4,Q1,Elsevier ,IMMUNOLOGY,10.2,J ALLERGY CLIN IMMUN,journal,10976825,916749,11/181,United States,Northern America,"1963-1965, 1971-2023",Immunology (Q1); Immunology and Allergy (Q1),Immunology and Microbiology; Medicine
Mass Spectrometry Reviews,6.9,Q1,Wiley,SPECTROSCOPY,7.9,MASS SPECTROM REV,journal,10982787,2777037,Feb-44,United States,Northern America,1982-2023,"Analytical Chemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Condensed Matter Physics (Q1); Spectroscopy (Q1)","Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
Endocrine Pathology,11.3,Q1,Humana Press,PATHOLOGY,6,ENDOCR PATHOL,journal,15590097,10463976,Feb-88,United States,Northern America,1990-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Annual Review of Pharmacology and Toxicology,11.2,Q1,Annual Reviews Inc.,TOXICOLOGY,12.9,ANNU REV PHARMACOL,journal,15454304,3621642,2/106,United States,Northern America,"1965-1973, 1975-2023",Pharmacology (Q1); Toxicology (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Wiley interdisciplinary reviews. RNA,6.4,Q1,Wiley,CELL BIOLOGY,7.2,WIRES RNA,journal,17577012,17577004,44/205,United States,Northern America,2010-2023,Biochemistry (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology"
Molecular Biology and Evolution,11,Q1,Oxford University Press,GENETICS & HEREDITY,14.5,MOL BIOL EVOL,journal,15371719,7374038,8/191,United Kingdom,Western Europe,1983-2023,"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Bioengineering and Translational Medicine,6.1,Q1,Wiley,"ENGINEERING, BIOMEDICAL",7.2,BIOENG TRANSL MED,journal,23806761,,20/122,United States,Northern America,2020-2023,Biomedical Engineering (Q1); Biotechnology (Q1); Pharmaceutical Science (Q1),"Biochemistry, Genetics and Molecular Biology; Engineering; Pharmacology, Toxicology and Pharmaceutics"
Metabolism: Clinical and Experimental,10.8,Q1,W.B. Saunders,ENDOCRINOLOGY & METABOLISM,10.6,METABOLISM,journal,260495,15328600,9/186,United States,Northern America,1952-2023,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
ISME Journal,10.8,Q1,Oxford University Press,MICROBIOLOGY,11.8,ISME J,journal,17517362,17517370,11/161,United Kingdom,Western Europe,2007-2023,"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)",Agricultural and Biological Sciences; Immunology and Microbiology
Wuli Huaxue Xuebao/ Acta Physico - Chimica Sinica,10.8,Q1,Chinese Chemical Society and Peking University,"CHEMISTRY, PHYSICAL",5.5,ACTA PHYS-CHIM SIN,journal,10006818,,24/178,China,Asiatic Region,1996-2024,Physical and Theoretical Chemistry (Q1),Chemistry
Developmental Cell,10.7,Q1,Cell Press,DEVELOPMENTAL BIOLOGY,11.5,DEV CELL,journal,15345807,18781551,Feb-39,United States,Northern America,2001-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Cell Biology (Q1); Developmental Biology (Q1); Molecular Biology (Q1)","Biochemistry, Genetics and Molecular Biology"
Redox Biology,10.7,Q1,Elsevier ,BIOCHEMISTRY & MOLECULAR BIOLOGY,11.7,REDOX BIOL,journal,22132317,,17/313,Netherlands,Western Europe,2013-2023,Biochemistry (Q1); Clinical Biochemistry (Q1); Organic Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemistry"
Biosensors and Bioelectronics,10.7,Q1,Elsevier ,NANOSCIENCE & NANOTECHNOLOGY,9.9,BIOSENS BIOELECTRON,journal,18734235,9565663,19/140,United Kingdom,Western Europe,1990-2023,Biomedical Engineering (Q1); Biophysics (Q1); Biotechnology (Q1); Electrochemistry (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering; Materials Science; Medicine"
Asian Journal of Pharmaceutical Sciences,10.7,Q1,Shenyang Pharmaceutical University,PHARMACOLOGY & PHARMACY,9,ASIAN J PHARM SCI,journal,18180876,2221285X,11/354,China,Asiatic Region,2009-2023,Pharmaceutical Science (Q1); Pharmacology (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Journal of Nanobiotechnology,10.6,Q1,BioMed Central Ltd,NANOSCIENCE & NANOTECHNOLOGY,11.4,J NANOBIOTECHNOL,journal,14773155,,21/140,United Kingdom,Western Europe,2003-2023,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Medicine (miscellaneous) (Q1); Molecular Medicine (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
PLoS Medicine,10.5,Q1,Public Library of Science,"MEDICINE, GENERAL & INTERNAL",11.3,PLOS MED,journal,15491277,15491676,10/325,United States,Northern America,2004-2023,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Controlled Release,10.5,Q1,Elsevier ,PHARMACOLOGY & PHARMACY,10.6,J CONTROL RELEASE,journal,18734995,1683659,12/354,Netherlands,Western Europe,1984-2023,Pharmaceutical Science (Q1),"Pharmacology, Toxicology and Pharmaceutics"
Annual Review of Biophysics,10.4,Q1,Annual Reviews Inc.,BIOPHYSICS,12.3,ANNU REV BIOPHYS,journal,19361238,1936122X,Apr-77,United States,Northern America,2008-2023,Biochemistry (Q1); Bioengineering (Q1); Biophysics (Q1); Cell Biology (Q1); Structural Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering"
Genome Medicine,10.4,Q1,BioMed Central Ltd,GENETICS & HEREDITY,12.6,GENOME MED,journal,1756994X,,9/191,United Kingdom,Western Europe,2009-2023,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal for ImmunoTherapy of Cancer,10.3,Q1,BMJ Publishing Group,ONCOLOGY,11.6,J IMMUNOTHER CANCER,journal,20511426,,26/322,United Kingdom,Western Europe,2013-2023,Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1),"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Cardiovascular Research,10.2,Q1,Oxford University Press,CARDIAC & CARDIOVASCULAR SYSTEMS,10.6,CARDIOVASC RES,journal,17553245,86363,12/220,United Kingdom,Western Europe,1967-2023,Cardiology and Cardiovascular Medicine (Q1); Physiology (Q1); Physiology (medical) (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Natural Product Reports,10.2,Q1,Royal Society of Chemistry,"CHEMISTRY, ORGANIC",11.2,NAT PROD REP,journal,2650568,14604752,Feb-58,United Kingdom,Western Europe,1984-2023,Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
Clinical and Translational Immunology,4.6,Q2,Wiley,IMMUNOLOGY,4.8,CLIN TRANSL IMMUNOL,journal,20500068,,56/181,United Kingdom,Western Europe,2012-2023,Immunology (Q1); Immunology and Allergy (Q1); Nursing (miscellaneous) (Q1),Immunology and Microbiology; Medicine; Nursing
FEMS Microbiology Reviews,10.1,Q1,Oxford University Press,MICROBIOLOGY,13.4,FEMS MICROBIOL REV,journal,1686445,15746976,12/161,United Kingdom,Western Europe,1985-2023,Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1),Immunology and Microbiology; Medicine
Clinical Cancer Research,10,Q1,American Association for Cancer Research Inc.,ONCOLOGY,11.1,CLIN CANCER RES,journal,10780432,15573265,27/322,United States,Northern America,1995-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Plant Cell,10,Q1,American Society of Plant Biologists,PLANT SCIENCES,11.1,PLANT CELL,journal,1532298X,10404651,7/265,United States,Northern America,1989-2023,Cell Biology (Q1); Plant Science (Q1),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Clinical and Translational Allergy,4.6,Q2,Wiley,ALLERGY,5.1,CLIN TRANSL ALLERGY,journal,20457022,,Nov-39,United Kingdom,Western Europe,2011-2023,Immunology and Allergy (Q1); Pulmonary and Respiratory Medicine (Q1); Immunology (Q2),Immunology and Microbiology; Medicine
Journal of the National Cancer Institute,9.9,Q1,Oxford University Press,ONCOLOGY,10.5,JNCI-J NATL CANCER I,journal,14602105,278874,28/322,United Kingdom,Western Europe,1940-2023,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Eurosurveillance,9.9,Q1,European Centre for Disease Prevention and Control (ECDC),INFECTIOUS DISEASES,8.5,EUROSURVEILLANCE,journal,15607917,1025496X,6/132,Sweden,Western Europe,2001-2023,"Epidemiology (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q1)",Immunology and Microbiology; Medicine
Soil Biology and Biochemistry,9.8,Q1,Elsevier ,SOIL SCIENCE,10.4,SOIL BIOL BIOCHEM,journal,380717,,Feb-49,United Kingdom,Western Europe,"1933, 1969-2023",Microbiology (Q1); Soil Science (Q1),Agricultural and Biological Sciences; Immunology and Microbiology
eBioMedicine,9.7,Q1,Elsevier ,"MEDICINE, RESEARCH & EXPERIMENTAL",9.2,EBIOMEDICINE,journal,23523964,,12/189,Netherlands,Western Europe,2014-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine"
Biochimica et Biophysica Acta - Reviews on Cancer,9.7,Q1,Elsevier ,ONCOLOGY,11.2,BBA-REV CANCER,journal,18792561,0304419X,29/322,Netherlands,Western Europe,1974-2023,Cancer Research (Q1); Genetics (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Molecular Psychiatry,9.6,Q1,Springer Nature,PSYCHIATRY,11.1,MOL PSYCHIATR,journal,14765578,13594184,6/276,United Kingdom,Western Europe,1996-2023,Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
Rare Metals,9.6,Q1,Springer Nature,METALLURGY & METALLURGICAL ENGINEERING,6.9,RARE METALS,journal,10010521,18677185,Mar-90,China,Asiatic Region,"1982-1987, 1989-2023",Condensed Matter Physics (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Physical and Theoretical Chemistry (Q1),Chemistry; Materials Science; Physics and Astronomy
Experimental and Molecular Medicine,9.5,Q1,Korean Society of Med. Biochemistry and Mol. Biology,"MEDICINE, RESEARCH & EXPERIMENTAL",11.7,EXP MOL MED,journal,12263613,20926413,13/189,South Korea,Asiatic Region,1996-2023,Biochemistry (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
Biomarker Research,9.5,Q1,BioMed Central Ltd,ONCOLOGY,9.4,BIOMARK RES,journal,20507771,,31/322,United Kingdom,Western Europe,2013-2023,Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Molecular Medicine (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
EMBO Journal,9.4,Q1,Springer Nature,CELL BIOLOGY,11,EMBO J,journal,2614189,14602075,27/205,Germany,Western Europe,1982-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
Plant Communications,9.4,Q1,Cell Press,PLANT SCIENCES,9.4,PLANT COMMUN,journal,25903462,,8/265,United States,Northern America,2020-2023,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1); Plant Science (Q1),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Experimental Hematology and Oncology,9.4,Q1,BioMed Central Ltd,ONCOLOGY,8.3,EXP HEMATOL ONCOL,journal,21623619,,32/322,United Kingdom,Western Europe,2012-2023,Cancer Research (Q1); Hematology (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine"
